topic,assigned,demilestoned,reopened,referenced,subscribed,mentioned,marked_as_duplicate,cross-referenced,connected,pinned,committed,review_requested,review_dismissed
topic_0,75,5,9,73,260,215,0,0,0,0,0,17,0
topic_1,40,1,5,94,165,116,0,0,0,0,0,35,0
topic_2,3,0,1,15,101,73,0,0,0,0,0,1,0
topic_3,20,3,2,40,123,121,0,0,0,0,0,33,0
topic_4,55,17,3,235,263,211,0,0,0,0,0,154,1
topic_5,28,3,5,36,199,181,1,0,0,0,0,5,0
topic_6,39,0,2,14,170,169,0,0,1,0,0,12,0
topic_7,9,2,9,43,135,124,3,0,0,0,0,3,0
topic_8,30,4,3,70,151,134,0,0,0,0,0,11,0
topic_9,26,5,8,73,258,226,0,0,0,0,0,13,0
topic_10,26,11,2,40,114,99,0,0,1,0,0,7,0
topic_11,32,11,11,103,314,276,0,0,0,0,0,16,0
topic_12,19,1,3,28,172,158,0,0,1,0,0,8,0
topic_13,1,2,3,15,41,36,0,0,0,0,0,9,0
