Topic ID,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty
TOPIC 0,337.0,829864.0,1059.0,297.0,489.0,9.9738342706479,171.0,136979.53166666668,0.6101549323433967,76.19908921588257
TOPIC 1,189.0,465204.0,760.0,212.0,298.0,11.502453472686447,125.0,64875.642222222225,0.9112032645986484,47.57068422535421
TOPIC 2,242.0,379033.0,469.0,154.0,386.0,7.450305936147753,128.0,58661.43583333334,0.6648029978974791,55.04971040389728
TOPIC 3,103.0,189094.0,335.0,66.0,173.0,8.953460540112966,66.0,20222.374722222223,0.5245260791731676,39.1849640151753
TOPIC 4,449.0,845103.0,1001.0,366.0,821.0,8.892945890554964,251.0,72370.8125,0.7128392474732214,56.630207764718115
TOPIC 5,173.0,228111.0,471.0,234.0,218.0,8.844306170791674,91.0,144447.79388888887,0.5517763398397628,79.24724688327194
TOPIC 6,533.0,577980.0,773.0,267.0,878.0,6.002018247407822,270.0,75439.30722222223,1.9790817400641592,42.21814380361754
TOPIC 7,253.0,826579.0,1361.0,445.0,467.0,15.455545032900087,154.0,59350.05805555555,1.090075396019038,44.72202606301232
TOPIC 8,235.0,591819.0,1540.0,671.0,292.0,15.555568469987572,125.0,80055.12027777778,0.5439993732250172,65.16026693503314
Security,2514.0,4932787.0,7769.0,2712.0,4022.0,10.114211606820644,1381.0,712402.0763888889,7.588459370633892,55.49421589131792
General,2514.0,4346330.0,5970.0,1491.0,4456.0,8.105217813078628,1551.0,318835.80305555556,15.820936391783373,31.966576314408112
