Sub-Category,Java,PHP,JavaScript,C#,Python,Shell,C/C++,Ruby,Objective-C,Swift,PowerShell,Perl,Go,TypeScript,All
Encryption,8,5,2,8,5,0,14,0,14,25,0,0,6,0,6
Encoding,7,0,4,4,0,0,5,0,0,0,0,0,4,0,2
Authentication,11,16,14,12,5,0,6,28,15,15,0,0,4,19,11
Tokens,5,10,6,8,5,0,0,10,7,0,0,0,5,3,5
Authorization,0,5,2,4,0,0,0,0,0,0,0,0,4,0,2
Digital Certificates,5,5,5,7,5,10,6,10,8,17,0,0,8,0,6
Client/Server,0,0,0,4,9,18,10,7,13,0,0,0,5,7,5
File Transfer,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Password/Data Storage,0,5,0,4,0,9,11,0,7,11,0,96,0,0,4
Digital Signature,0,0,0,3,4,0,0,0,8,0,0,0,3,0,1
Network Exploits,0,5,5,0,5,0,0,0,0,0,0,0,0,15,3
Mitigation,0,0,4,0,0,0,0,9,0,0,0,0,1,5,2
Memory Management,0,0,0,0,0,0,5,0,7,0,0,0,2,0,1
Race Condition,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1
Implementation,27,22,35,12,21,10,20,19,7,31,70,4,25,14,23
Testing,21,6,8,4,12,0,6,11,7,0,30,0,22,22,12
Libraries/Configuration,7,5,3,18,9,35,6,7,0,0,0,0,1,8,7
GitHub/Reports,3,10,9,0,11,18,12,0,8,0,0,0,6,8,7
